Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
"Age-specific fertility rate for the three years preceding the survey for age group 10-14 expressed per 1,000 women",0,I,Rate,0,ASFR 10-14,FE_FRTR_W_A10,Fertility,,Fertility rates,Women,FEFRTRWA10,,80,,Age specific fertility rate: 10-14,11763005,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 15-19 expressed per 1,000 women",0,I,Rate,0,ASFR 15-19,FE_FRTR_W_A15,Fertility,,Fertility rates,Women,FEFRTRWA15,19165001,"74, 1, 7, 81, 80",,Age specific fertility rate: 15-19,11763010,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 20-24 expressed per 1,000 women",0,I,Rate,0,ASFR 20-24,FE_FRTR_W_A20,Fertility,,Fertility rates,Women,FEFRTRWA20,19165002,74,,Age specific fertility rate: 20-24,11763020,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 25-29 expressed per 1,000 women",0,I,Rate,0,ASFR 25-29,FE_FRTR_W_A25,Fertility,,Fertility rates,Women,FEFRTRWA25,19165003,74,,Age specific fertility rate: 25-29,11763030,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 30-34 expressed per 1,000 women",0,I,Rate,0,ASFR 30-34,FE_FRTR_W_A30,Fertility,,Fertility rates,Women,FEFRTRWA30,19165004,74,,Age specific fertility rate: 30-34,11763040,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 35-39 expressed per 1,000 women",0,I,Rate,0,ASFR 35-39,FE_FRTR_W_A35,Fertility,,Fertility rates,Women,FEFRTRWA35,19165005,74,,Age specific fertility rate: 35-39,11763050,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 40-44 expressed per 1,000 women",0,I,Rate,0,ASFR 40-44,FE_FRTR_W_A40,Fertility,,Fertility rates,Women,FEFRTRWA40,19165006,74,,Age specific fertility rate: 40-44,11763060,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
"Age-specific fertility rate for the three years preceding the survey for age group 45-49 expressed per 1,000 women",0,I,Rate,0,ASFR 45-49,FE_FRTR_W_A45,Fertility,,Fertility rates,Women,FEFRTRWA45,19165007,74,,Age specific fertility rate: 45-49,11763070,Per thousand women years exposed in the period 1-36 months prior to interview,,,,
Total fertility rate for the three years preceding the survey for age group 15-49 expressed per woman,1,I,Rate,1,TFR 15-49,FE_FRTR_W_TFR,Fertility,,Fertility rates,Women,FEFRTRWTFR,19170000,"74, 0, 77",,Total fertility rate 15-49,11763080,Per woman,10,,,
Total fertility rate for the three years preceding the survey for age group 15-44 expressed per woman,1,I,Rate,0,TFR 15-44,FE_FRTR_W_TF4,Fertility,,Fertility rates,Women,FEFRTRWTF4,19170001,74,,Total fertility rate 15-44,11763090,Per woman,,,,
"General fertility rate for the three years preceding the survey expressed per 1,000 women age 15-44",0,I,Rate,0,General fertility rate,FE_FRTR_W_GFR,Fertility,,Fertility rates,Women,FEFRTRWGFR,122176002,"74, 77",,General fertility rate,11763100,Per thousand women age 15-44,,,,
"Crude birth rate for the three years preceding the survey expressed per 1,000 population",1,I,Rate,0,Crude birth rate,FE_FRTR_W_CBR,Fertility,,Fertility rates,Women,FEFRTRWCBR,123175003,74,,Crude birth rate,11763110,Per thousand population,,,,
Percentage of women 15-49 currently pregnant,1,I,Percent,0,Women age 15-49 currently pregnant,FE_FRTY_W_PRG,Fertility,,Fertility,Women,FEFRTYWPRG,20171001,,FE_FRTY_W_NPG,Percentage of women currently pregnant,11803020,All women,,,FE_FRTY_W_UPG,
Number of women age 15-49,0,D,Number,0,Number of women age 15-49,FE_FRTY_W_NPG,Fertility,,Fertility,Women,FEFRTYWNPG,,,,Number of women age 15-49,11803030,All women,,,FE_FRTY_W_UPG,
Number of women age 15-49 (unweighted),0,U,Number,0,Number of women age 15-49 (unweighted),FE_FRTY_W_UPG,Fertility,,Fertility,Women,FEFRTYWUPG,,,FE_FRTY_W_NPG,Number of women age 15-49 (unweighted),11803040,All women,,,,
