ISO3_CountryCode,REG_ID,highway_length_meters,region_area_m2
AGO,AODHS2015506021,12476737.275524061,74033691495.63625
AGO,AODHS2015506026,6061038.345783346,83719440885.99254
AGO,AODHS2015506020,12848549.728589004,34979589788.24728
AGO,AODHS2015506025,14131879.653783038,84245318393.56314
AGO,AODHS2015506023,7406473.458724287,216670666456.90848
AGO,AODHS2015506015,3327922.8095118958,20948840840.28842
AGO,AODHS2015506016,12128625.032083971,57656614623.576096
AGO,AODHS2015506014,21801030.655830998,19356516951.33879
AGO,AODHS2015506018,9198313.334701823,100771376279.42273
AGO,AODHS2015506027,5889885.421507783,84646021191.31065
AGO,AODHS2015506022,12363072.558717106,211529799802.5839
AGO,AODHS2015506024,4544223.826133254,61281114375.0455
AGO,AODHS2015506013,7180761.948045519,63564718561.57853
AGO,AODHS2015506012,3116323.462257646,37736800731.38768
AGO,AODHS2015506028,4682805.319612612,20748233528.59964
AGO,AODHS2015506017,9108650.317465233,89232813406.43324
AGO,AODHS2015506011,2582138.265795625,7078115183.2648535
AGO,AODHS2015506019,11164375.16237692,41306957744.15162
BEN,BJDHS2012387009,5884417.883294254,27955834060.204155
BEN,BJDHS2012387002,5288926.514115401,21468592361.08531
BEN,BJDHS2012387005,7643218.682332659,3162570012.771758
BEN,BJDHS2012387008,9165842.47952172,26696274517.24444
BEN,BJDHS2012387018,5394723.41695279,14312209554.698668
BEN,BJDHS2012387012,1978070.2102619393,2434544926.9697323
BEN,BJDHS2012387003,3095179.7587741623,11340853027.195976
BEN,BJDHS2012387006,985740.6578705471,70527431.22107735
BEN,BJDHS2012387011,2094939.152379558,1616975987.7930722
BEN,BJDHS2012387014,4168061.1743804393,1414860964.7575428
BEN,BJDHS2012387015,4486105.746217915,3459231724.992815
BEN,BJDHS2012387017,4637325.985298554,5397006862.242433
BEN,BJDHS2017387009,5884417.883294254,27955834060.204155
BEN,BJDHS2017387002,5288926.514115401,21468592361.08531
BEN,BJDHS2017387005,7643218.682332659,3162570012.771758
BEN,BJDHS2017387008,9165842.47952172,26696274517.24444
BEN,BJDHS2017387018,5394723.41695279,14312209554.698668
