,country_code,highway,length
0,ESH,bridleway,53.6724
1,ESH,bus_guideway,8.300400000000002
2,ESH,construction,1158.036
3,ESH,corridor,2.5359
4,ESH,crossing,0.036199999999999996
5,ESH,cycleway,66.7833
6,ESH,escape,1.1979
7,ESH,footway,4227.1122
8,ESH,living_street,1660.4439
9,ESH,motorway,4313.7698
10,ESH,motorway_link,452.2136
11,ESH,path,38384.6445
12,ESH,pedestrian,426.3458
13,ESH,platform,0.0674
14,ESH,primary,16398.5882
15,ESH,primary_link,56.3686
16,ESH,proposed,2336.5695
17,ESH,raceway,11.64
18,ESH,residential,52542.0649
19,ESH,rest_area,3.4307
20,ESH,road,41.4577
21,ESH,secondary,11088.679399999999
22,ESH,secondary_link,30.5327
23,ESH,service,10000.5284
24,ESH,services,58.7528
25,ESH,steps,46.2306
26,ESH,tertiary,42267.633
27,ESH,tertiary_link,26.457
28,ESH,track,249209.9765
29,ESH,trunk,4386.6783
30,ESH,trunk_link,64.8274
31,ESH,unclassified,78792.3285
32,SSD,bridleway,7.9351
33,SSD,construction,107.92269999999999
34,SSD,footway,334.4225
35,SSD,living_street,2.0428
36,SSD,path,36056.6036
37,SSD,pedestrian,4.7166
38,SSD,primary,6533.1476
39,SSD,primary_link,1.7601
40,SSD,proposed,395.1314
41,SSD,residential,10042.3837
42,SSD,road,8.716899999999999
43,SSD,secondary,5412.073
44,SSD,secondary_link,0.1893
45,SSD,service,1211.1416
46,SSD,steps,0.235
47,SSD,tertiary,7066.5075
48,SSD,tertiary_link,1.0528
49,SSD,track,23797.1244
50,SSD,trunk,19.040699999999998
51,SSD,unclassified,26774.5937
52,STP,footway,15.3492
53,STP,path,180.0875
54,STP,pedestrian,0.3794
55,STP,primary,135.061
56,STP,primary_link,0.3146
57,STP,residential,311.4628
58,STP,secondary,61.8684
59,STP,secondary_link,0.08660000000000001
60,STP,service,19.462600000000002
61,STP,steps,0.2644
62,STP,tertiary,99.9119
63,STP,tertiary_link,0.1155
64,STP,track,242.5328
65,STP,unclassified,185.4469
66,ERI,construction,59.3096
67,ERI,footway,33.2332
68,ERI,living_street,0.7095
69,ERI,path,946.1043
70,ERI,pedestrian,0.5182
71,ERI,primary,634.8181
72,ERI,primary_link,1.0416
73,ERI,raceway,0.4482
74,ERI,residential,4676.032
75,ERI,rest_area,1.3957
76,ERI,road,12.8254
77,ERI,secondary,1187.3932
78,ERI,secondary_link,1.2283
79,ERI,service,265.6303
80,ERI,steps,0.5304
81,ERI,tertiary,1995.3639
82,ERI,tertiary_link,0.294
83,ERI,track,5104.7176
84,ERI,trunk,1558.537
85,ERI,trunk_link,1.081
86,ERI,unclassified,4115.1991
87,ZAF,abandoned,3.8474000000000004
88,ZAF,bridleway,77.2528
89,ZAF,bus_guideway,0.0572
90,ZAF,bus_stop,0.2206
91,ZAF,busway,0.0249
92,ZAF,construction,50.7792
93,ZAF,corridor,8.7864
94,ZAF,cycleway,892.0
95,ZAF,elevator,0.0607
96,ZAF,escape,2.5852
97,ZAF,footway,5025.8619
98,ZAF,living_street,463.1691
99,ZAF,motorway,4156.8759
100,ZAF,motorway_link,1400.9325
101,ZAF,path,20279.1477
102,ZAF,pedestrian,71.8599
103,ZAF,platform,0.6778
104,ZAF,primary,23240.312
105,ZAF,primary_link,417.2035
106,ZAF,proposed,120.7927
107,ZAF,raceway,128.8952
108,ZAF,razed,7.45
109,ZAF,residential,332498.9181
110,ZAF,rest_area,10.8287
111,ZAF,road,38.96
112,ZAF,secondary,41614.7987
113,ZAF,secondary_link,287.9584
114,ZAF,service,55381.7575
115,ZAF,services,16.5924
116,ZAF,steps,61.0601
117,ZAF,street_lamp,0.0701
118,ZAF,tertiary,93795.6707
119,ZAF,tertiary_link,167.7588
120,ZAF,track,162808.6835
121,ZAF,trunk,14787.3781
122,ZAF,trunk_link,558.0131
123,ZAF,unclassified,211417.4808
124,ZAF,via_ferrata,0.0037
125,ZAF,yes,0.0619
126,DJI,construction,7.6117
127,DJI,corridor,0.1267
128,DJI,footway,40.9972
129,DJI,living_street,0.9547
130,DJI,path,146.7376
131,DJI,pedestrian,0.0187
132,DJI,platform,0.6993
133,DJI,primary,482.2832
134,DJI,primary_link,0.9006000000000001
135,DJI,residential,813.5341
136,DJI,secondary,181.1727
137,DJI,secondary_link,0.5676
138,DJI,service,379.7029
139,DJI,steps,0.0364
140,DJI,tertiary,364.5113
141,DJI,tertiary_link,0.046700000000000005
142,DJI,track,2279.2407
143,DJI,trunk,280.8739
144,DJI,trunk_link,0.6677
145,DJI,unclassified,860.7931
146,SYC,footway,24.6982
147,SYC,living_street,0.5182
148,SYC,path,165.9557
149,SYC,primary,81.6333
150,SYC,primary_link,0.5125
151,SYC,raceway,0.6114
152,SYC,residential,368.739
153,SYC,secondary,66.0995
154,SYC,secondary_link,0.1102
155,SYC,service,112.2808
156,SYC,steps,0.5236000000000001
157,SYC,tertiary,45.5164
158,SYC,tertiary_link,0.35760000000000003
159,SYC,track,76.9887
160,SYC,unclassified,26.041900000000002
161,ZWE,bridleway,1.2765
162,ZWE,construction,2723.7152
163,ZWE,cycleway,9.6059
164,ZWE,footway,89.3978
165,ZWE,living_street,7.1071
166,ZWE,path,16055.0545
167,ZWE,pedestrian,1.9666
168,ZWE,primary,2816.9474999999998
169,ZWE,primary_link,7.9757
170,ZWE,proposed,22.7234
171,ZWE,raceway,7.6627
172,ZWE,residential,16412.5657
173,ZWE,road,1.0782
174,ZWE,secondary,7008.8484
175,ZWE,secondary_link,10.4001
176,ZWE,service,5974.2624
177,ZWE,steps,0.5753
178,ZWE,tertiary,22601.898
179,ZWE,tertiary_link,5.1195
180,ZWE,track,132754.9731
181,ZWE,trunk,4868.5587
182,ZWE,trunk_link,17.5011
183,ZWE,unclassified,65192.4586
184,GAB,bus_stop,0.1241
185,GAB,construction,14.7866
186,GAB,cycleway,4.9491000000000005
187,GAB,footway,36.0824
188,GAB,living_street,1.3438999999999999
189,GAB,motorway,19.4737
190,GAB,path,113.6059
191,GAB,pedestrian,0.9066000000000001
192,GAB,primary,2623.6621
193,GAB,primary_link,4.1693999999999996
194,GAB,raceway,1.5519
195,GAB,residential,3159.9158
196,GAB,secondary,1481.8137
197,GAB,secondary_link,0.5561
198,GAB,service,700.9699
