country_name,country_code,percent_2000,percent_2002,percent_2004,percent_2006,percent_2008,percent_2010,percent_2012,percent_2014,percent_2016,percent_2018,percent_2020,population_2000,population_2002,population_2004,population_2006,population_2008,population_2010,population_2012,population_2014,population_2016,population_2018,population_2020
Angola,AGO,19.7,19.7,19.66038868,25.79191202,31.92343537,38.05495871,44.18648206,50.3180054,56.44952875,62.58105209,62.6,1622.260328,1816.103206,2033.57132,2966.508087,4048.499746,5316.602722,6794.105086,8497.381208,10433.90679,12617.3026,13732.53258
Burundi,BDI,79.7,79.7,77.04306499,71.68054424,66.31802348,60.95550273,55.59298198,50.23046123,44.86794047,39.50541972,36.8,420.671743,466.4841,505.7153012,529.0984684,551.0357939,568.6971634,579.9982454,585.125099,584.9707094,577.4523003,602.263648
Benin,BEN,71.86568798,71.47241195,71.07913593,70.68585991,70.29258388,69.89930786,69.50603184,69.11275582,68.71947979,68.32620377,67.93292775,1891.431605,2035.402068,2205.606201,2384.222745,2571.779302,2770.99869,2983.919664,3211.024941,3453.924205,3712.93337,3987.189366
Burkina Faso,BFA,82.21152208,76.64539483,71.07926759,65.51314035,59.94701311,54.38088586,48.81475862,43.24863138,37.68250413,32.11637689,26.55024965,1702.820127,1814.461689,1922.554873,2023.941339,2072.4174,2090.414848,2084.384335,2048.517269,1976.791006,1862.354828,1698.661343
Botswana,BWA,58.69238568,56.56976161,54.44713754,52.32451347,50.2018894,48.07926533,45.95664127,43.8340172,41.71139313,39.58876906,39.6,539.8543242,549.4768026,552.6667585,556.0578371,580.8273261,604.609743,621.8903248,630.8771475,637.6337245,641.4671182,678.035952
Central Africa Republic,CAF,85.96515716,83.12314806,80.28113896,77.43912986,74.59712076,71.75511166,68.91310256,68.91310256,68.91310256,,,1214.968777,1227.863556,1235.961852,1242.741607,1248.18215,1241.831275,1218.860532,1243.409446,1286.075616,,
Cote d'Ivoire,CIV,67.0765805,65.5359407,63.99530089,62.45466108,60.91402127,59.37338146,57.83274166,56.29210185,54.75146204,53.21082223,53.21082223,4830.20938,5005.897294,5161.866729,5331.52958,5521.684251,5733.068777,5967.075872,6216.662176,6471.485387,6729.476908,7200.654482
Cameroon,CMR,65.36379656,62.09459598,58.82539539,55.5561948,52.28699422,49.01779363,45.74859305,42.47939246,39.21019188,35.94099129,32.67179071,4546.782818,4668.123319,4782.611119,4886.900675,4977.524205,5047.170061,5089.476078,5099.305708,5071.212917,5000.15815,4881.663123
Democratic Republic of Congo,COD,,71.91424423,71.91424423,72.37481695,73.29596241,74.21710786,75.13825332,76.05939877,76.98054422,77.90168968,78.36226241,,12921.78656,14111.48764,15538.9463,17247.51186,19161.29943,21292.39796,23651.72575,26249.01149,29095.45456,32009.76723
Congo,COG,87.80582878,87.80582878,84.68995479,78.45820682,72.22645886,65.99471089,59.76296292,53.53121495,47.29946698,44.183593,44.183593,1662.462879,1783.561165,1848.353182,1852.238993,1853.194426,1831.239056,1776.860461,1697.119379,1600.182119,1596.529949,1704.31715
Comoros,COM,64.49449181,65.08642608,65.67836035,66.27029462,66.86222889,67.45416316,68.04609743,68.6380317,68.6,68.6,,98.22059641,103.7516684,109.4510172,115.6688349,122.54175,130.1359443,138.5248428,147.7062987,156.19534,165.389112,
Ethiopia,ETH,92.17157884,89.07633416,85.98108947,82.88584478,79.79060009,76.69535541,73.60011072,70.50486603,67.40962134,64.31437666,64.31437666,9039.533113,9493.361977,9948.043005,10390.63332,10958.29979,11649.36491,12355.88649,13041.57484,13713.2842,14359.96545,15733.49801
Gabon,GAB,57.43,55.55895062,53.68790123,51.81685185,49.94580247,48.07475309,46.2037037,44.33265432,44.33265432,44.33265432,,557.6975613,577.9736518,598.9556481,622.2001756,647.3485447,674.4498453,703.2208324,728.8643032,777.2791083,819.1681467,
Ghana,GHA,60.36841069,57.00821507,53.64801946,50.28782384,46.92762822,43.5674326,40.20723698,36.84704136,33.48684575,33.48684575,33.48684575,5022.428406,5142.63241,5250.012351,5336.442787,5395.778581,5415.771263,5387.766137,5307.125426,5171.314652,5531.095983,5902.246433
Guinea,GIN,40.66533931,41.49951988,42.33370045,43.16788102,44.00206159,44.83624216,45.67042272,46.50460329,47.33878386,48.17296443,49.007145,1105.736121,1191.437521,1284.710121,1387.981627,1503.822377,1629.913528,1764.929376,1912.55064,2080.834471,2272.401108,2484.983738
Gambia,GMB,56.92053143,55.11778737,53.3150433,51.51229924,49.70955517,47.90681111,46.10406704,44.30132297,42.49857891,40.69583484,38.89309078,335.6393133,359.1023059,382.4320045,405.1586569,428.087753,451.2227562,474.4551097,497.2770342,519.0886924,539.5168913,558.2356434
Guinea-Bissau,GNB,,,,,75.2,75.2,75.24783282,71.63846628,68.02909974,64.4197332,60.81036665,,,,,437.918176,469.303648,504.2567971,515.7267515,525.3696891,532.7473283,537.7047213
Guyana,GUY,26.1,26.1,25.31799097,23.67076749,22.02354402,20.37632054,18.72909707,17.08187359,15.43465011,13.78742664,12.14020316,56.415672,55.964664,53.40602333,48.94049533,44.55098672,40.51546071,37.23644162,34.44406072,31.60861997,28.69480594,25.71549974
Kenya,KEN,63.18451382,61.63811374,60.09171367,58.54531359,56.99891352,55.45251344,53.90611337,52.35971329,50.81331322,50.81331322,50.81331322,3952.940076,4215.582845,4491.488436,4782.091865,5087.552594,5404.772937,5735.302658,6077.71341,6428.307905,6997.91041,7609.323634
Liberia,LBR,,75.48822777,75.48822777,74.59565916,72.81052192,71.02538469,69.24024746,67.45511022,65.66997299,63.88483576,63.88483576,,1040.839988,1095.951679,1168.358241,1255.86355,1340.769625,1406.648862,1463.033211,1522.630561,1586.031764,1698.417328
Lesotho,LSO,62.72728677,62.72728677,58.59683004,54.46637331,50.33591658,46.20545985,42.07500312,37.94454639,33.81408966,29.68363293,25.55317621,229.1352513,245.7755459,245.7539332,244.3165428,239.5456068,233.8065577,226.0252338,215.7841848,203.5702877,189.1147223,172.2519165
Madagascar,MDG,91.43568848,89.03412909,86.6325697,84.23101031,81.82945092,79.42789152,77.02633213,74.62477274,72.22321335,69.82165396,67.42009457,3909.946394,4129.126901,4351.113883,4679.458831,5018.532306,5365.621744,5719.242134,6079.296664,6446.821693,6819.679934,7193.893989
Mali,MLI,83.87626732,79.68152333,75.48677935,71.29203536,67.09729137,62.90254739,58.7078034,54.51305941,50.31831542,46.12357144,41.92882745,2608.567011,2764.246865,2927.87929,3095.960722,3263.559246,3413.675328,3533.262808,3624.420139,3692.806825,3732.928232,3734.44804
Morocco,MOR,33.15472133,30.36674085,27.57876037,24.7907799,22.00279942,19.21481894,16.42683846,13.63885798,10.8508775,10.8508775,10.8508775,5101.496747,4838.520487,4548.043986,4266.099047,3954.837514,3613.020433,3238.443935,2820.330887,2348.780726,2452.595954,2555.555156
Mozambique,MOZ,90.09548579,86.58182817,83.06817055,79.55451293,76.0408553,72.52719768,69.01354006,65.49988243,61.98622481,58.47256719,54.95890957,4736.675565,4881.409012,5031.335255,5173.730692,5356.372597,5591.598173,5820.494997,6038.405997,6241.414672,6424.158761,6583.219458
Mauritania,MRT,84.69319426,81.31659734,77.94000041,74.56340349,71.18680656,67.81020964,64.43361272,61.05701579,57.68041887,56,56,874.0625604,922.4262062,977.786143,1032.572652,1086.423855,1140.310725,1194.497375,1245.68951,1289.106603,1364.57664,1482.15984
